input_text,encouragement_text
今働いてるバイト先が親会社のせいでめっちゃシフト減らされて。, 勇敢な者は長生きできないかもしれない。だが小心者は最初から生きていない。
私は結婚したいと思ってるのですが先が不安でして。, 何百何千の命を賭けながら自分だけは汚れずにいられるほどそれほどオレの欲しいものはたやすく手に入るものではないんだ。
彼が冷たくなった原因はなんでしょうか。, 人間は自分で探し求め発見したことしか長く覚えることはできない。
わたしもどちらかと彼と同じタイプなのでうまくいかないです笑。, 我々は心穏やかでいられるだろう。集団から離れているだけで。
迷惑ではないですかね。, 後悔する。弱音もはく。だけど必ず前を向く。
不安が多いです。, 人に好かれているうちは勝負師としては三流。
避けてしまうくせがあります。, 苦難を希望のもとと考えねば責任の重さにつぶされてしまう。
彼の現状は良くわからないです。。, 人の悪口を言わないような人間は信用するに値しない。
人だと気まずいという気持ちはありませんか。, 迷信は神々に対する無感覚の恐怖から成り宗教は神々への敬虔なる崇拝から成る。
だけど流石にむかつきます。, 僕は素振りを欠かしませんでした。
身動きがとれなくてどうしたらいいのか傷つくばかりでもう疲れてしまいました。。, 富は消費するためにある。消費する目的は名誉と善行である。
長期で休むなら休むって会社にいったら大丈夫なのにそれさえ出来ない。, 他人をその意思に反して助けてもその者を殺すのと変わらない。
読むのは大丈夫だけど書くことがとても苦手。は。, 組織は1人より賢い割り箸1本はすぐ折れても100本あったら折れない1人で成功した人なんて人間じゃないと思います。
謝ってもわたしからはもう付き合えない気がします。今はですけどね。, 貪欲を生じ<unk> をおこすこともそのみなもとをいえばみな愚痴よりいでたり。
はい。待つこと出来てなかったかも。, 知らねえ事を1週間本気になって調べまくってみたらいいよ。だいたいの事は周りの誰より詳しくなっからよ。
この先。事務が良いか販売が良いのか分からなくなってきて。, 望んでも望まなくても起こることは起こるようになっています。地球人はそれを運命と言うようです。
それに好きな人ともお互い学校が違い会えなくなってしまっています。, 僕はあくまでひとつのパーツでいたいくて。
戻りたいのになんでとなったんでしょう。, 人生は戦争なり。
しかもあの人はモテるし。, 反省の色って何色。
破綻になりそうですか。, ほめることはあなたの部下や同僚に自信を植え付けます。上役の重要な仕事は上手にほめることです。
このままスルーされて消えてしまったらどうしよう。怖いです。, 自分が進んでいく道ですから他人にいろいろと議論されることもないですし左右されることでもないと思うんです。
昨日いてもたってもいられなくて。, 僕は生き物の命を断つ事は決して好きではない。
訴えるとかじゃなく話を了承してないですみたいな。, 我々はこの時代を偉大な発展の時代にすることができる。
将来的にお金に困ったりする。, 部下が新しい事業を立ち上げたいと提案してきた時松下さんは三つだけ質問したというんです。
なのにたまに普通に話してしまうことがあり混乱して自己嫌悪に。, 努力しないで天才になれたらいいな。
結局私の心は前の彼に戻ってしまいました。, 儲けたければ次のことを知っておく必要がある。
最近は会えてないです。, 私は掃除をしていないだけで殴られたりもしました。すごく暴力を振るう人でした。
嫌われちゃったのかな。別れたいのかな。, 孤独な生活をしている人たちは心の中に何か鬱積したものがあって機会があればそれを喜んで人に話したがるものである。
彼がなかなか難ありの性格なので悩みますわら。, 下品で卑わいなものでもどんどん放送すればいいのだ。
