input_text,encouragement_text
今働いてるバイト先が親会社のせいでめっちゃシフト減らされて。, すべての経験は路を開く道具となる。
私は結婚したいと思ってるのですが先が不安でして。, 今日のことは今日だけ。
彼が冷たくなった原因はなんでしょうか。, 僕はラーメンを作っているんじゃなくてありがとうを作っているんだと思っています。
わたしもどちらかと彼と同じタイプなのでうまくいかないです笑。, 我慢しなくてもいい。
迷惑ではないですかね。, 世の中で一番大切なもの人間にとって最も大切なものそれは思い出ではないか。
不安が多いです。, 他人と比べないって本当に気持ちが楽。自分は自分と思えたら自信もしっかりついてきます。
避けてしまうくせがあります。, やばいときは逃げないとそのうち死ぬぞ。逃げるのも戦いのうちだ。
彼の現状は良くわからないです。。, 何事も行き詰ればまず自分のものの見方を変えることである。
人だと気まずいという気持ちはありませんか。, 物事がうまくいかないと思ったらまず最初にあなたがこれまで何人の人を幸せにしてきたかを考えなさい。
だけど流石にむかつきます。, 僕は評判の店とか行列のできる店なんかには行かない。
身動きがとれなくてどうしたらいいのか傷つくばかりでもう疲れてしまいました。。, 世の中には幸福も不幸もないんでしょう。
長期で休むなら休むって会社にいったら大丈夫なのにそれさえ出来ない。, 人の言ったことを第三者に伝えてもやがて自分が初めて言ったことになる。
読むのは大丈夫だけど書くことがとても苦手。は。, 我々は不幸な人々を叱責する。それは不幸な人々に共通の懲罰だからである。
謝ってもわたしからはもう付き合えない気がします。今はですけどね。, 楽しいことを一緒にやった仲間は本当の仲間じゃない。苦しいことを一緒に分け合った仲間が本当の仲間だ。
はい。待つこと出来てなかったかも。, 誰とでもどんどん会話をしなさい。楽しい会話こそがよりよい人間関係を作っていくのだから。
この先。事務が良いか販売が良いのか分からなくなってきて。, 何でだろう。。。ってむなしいです。今の仕事に。。無理してるんですよね。。むなしさだけが。
それに好きな人ともお互い学校が違い会えなくなってしまっています。, 他人の好きという言葉に安心できないし信じられない。そういう人は自分が自分を心の底では嫌いなのである。
戻りたいのになんでとなったんでしょう。, 私たちは成功する為にここにいるのではありません。誠実である為にここにいます。
しかもあの人はモテるし。, 私があの人の愛人だと思うと口惜しいけれどあの人が私の愛人だと思えば少しは気が楽になるわね。
破綻になりそうですか。, 人間は考える葦というが本当に考えるだけである。
このままスルーされて消えてしまったらどうしよう。怖いです。, 他人にご馳走になるときは出来るだけたくさん食べる。
昨日いてもたってもいられなくて。, 我々は不幸な人々を叱責する。それは不幸な人々に甘い汁を吸わせるためである。
訴えるとかじゃなく話を了承してないですみたいな。, 人生の経験とはそれをバネにして成長するための教訓なの。だからほんとうにひどい出来事なんてないわ。
将来的にお金に困ったりする。, 誰にも言わないで引退試合するから。
なのにたまに普通に話してしまうことがあり混乱して自己嫌悪に。, 努力してる人が成功するとは限らないけど成功した人はみんな努力してます。
結局私の心は前の彼に戻ってしまいました。, 私は何組もの若手に1は優勝を目指さないほうがいいよってアドバイスをしたんです。
最近は会えてないです。, 世の中で大成した人ほど臆病だと思う。
嫌われちゃったのかな。別れたいのかな。, 他人の言葉をいちいち気にしていたらもう何年も前に自殺しているわ。
彼がなかなか難ありの性格なので悩みますわら。, 君が一人で勝手に助かるだけだよ。
とてもつらいです。, ブスの25カ条22謙虚さがなく傲慢である。
仕事でも周りにどう思われてるのかなって不安になったり。, 私の言う通りにチームを作れば100勝てる。
わたしはつい彼に先のビジョンがあると勘違い。, 人間キャリアを重ねると冒険をしなくなる。
自分は前の病棟スタッフからどう思われてたすか。, リスクを冷静に計りながら思い切ってリスクを取る経営ができなければ強さを再び手にすることも難しい。
