input_text,encouragement_text
今働いてるバイト先が親会社のせいでめっちゃシフト減らされて。, 世の中の事件に際しその責任が親にあると思う人は自分の子を見なさい。
私は結婚したいと思ってるのですが先が不安でして。, 私は今にいます!明日です!今日ですよ!。
彼が冷たくなった原因はなんでしょうか。, 結婚テキレイ期とは何か手のキレイな時じゃないか。
わたしもどちらかと彼と同じタイプなのでうまくいかないです笑。, 人生は数学です。
迷惑ではないですかね。, 私は明日を一度も見たことがない。
不安が多いです。, 人生に生涯凍結ということはありえません。冬は必ず春となり時が来れば美しい花を咲かせます。
避けてしまうくせがあります。, いいことは8秒しか続かないけど悪いことは3週間続くよ。
彼の現状は良くわからないです。。, いい状態で仕事をするためには健康も大事。
人だと気まずいという気持ちはありませんか。, 他人と比較して卑屈になるようなことはなかった。
だけど流石にむかつきます。, 君が君であることが生きてる意味である。存在するだけで誰かのためになっている。
身動きがとれなくてどうしたらいいのか傷つくばかりでもう疲れてしまいました。。, 世の中には頑張ってる人がたくさんいるのに私はその頑張ってるとは誰にも言えない。
長期で休むなら休むって会社にいったら大丈夫なのにそれさえ出来ない。, 人間はあらゆるものを発明することができる。ただし幸福になる術を除いては。
読むのは大丈夫だけど書くことがとても苦手。は。, どんなに優れた天才であれ全てを自分自身のおかげだと思うとしたらそれ以上の進歩は出来ないだろう。
謝ってもわたしからはもう付き合えない気がします。今はですけどね。, 結婚って人が自ら作った最もつらい病気だと思いますね。
はい。待つこと出来てなかったかも。, 自分の意思を正確に伝えることが出来るのは十人までです。
この先。事務が良いか販売が良いのか分からなくなってきて。, 私は今幸せなの。みんなそうなのよ。私だけじゃないわ。
それに好きな人ともお互い学校が違い会えなくなってしまっています。, 僕の場合はわりと最初の1カ月で思いがけない収入が入ってくるんですよ。そうすると調子に乗ってどんどんハイペースで描けちゃう。
戻りたいのになんでとなったんでしょう。, 恋ほど素晴らしいものはない。
しかもあの人はモテるし。, 人生は楽しいもの。決して人を責めず時間を上手に使い一つずつ扉をあけていきましょう。
破綻になりそうですか。, 幸せになる方法はたった一つ。それは毎日を人生の最後の日であるかのように生きること。
このままスルーされて消えてしまったらどうしよう。怖いです。, 幸福とは何かという問いかけには答える気にならない。
昨日いてもたってもいられなくて。, 人生が豊かになるのは自分が好きになることとやらなきゃいけないことをやることです。
訴えるとかじゃなく話を了承してないですみたいな。, 幸せが何から成っているのか探し続けている人は決して幸せになれない。
将来的にお金に困ったりする。, 人生が耐え難くなったとき我々は状況が変わること期待する。
