input_text,encouragement_text
今働いてるバイト先が親会社のせいでめっちゃシフト減らされて。, 自分がこの親の血をひいているなんて考える必要はまったくない。
私は結婚したいと思ってるのですが先が不安でして。, 私は仕事が好きでした。ただ仕事で無理するうちに自分のことを嫌いになってしまったんです。それが理由の一つです。
彼が冷たくなった原因はなんでしょうか。, 私は自分が幸福だと知った。同時に私は他人が幸福だとも知ったのである。
わたしもどちらかと彼と同じタイプなのでうまくいかないです笑。, 人生の中で巡り会える相手って案外限られている。
迷惑ではないですかね。, 死を親しいものと見なさなければ人間らしい美しい精神や感情のバランスのとれた生き方ができない。
不安が多いです。, 僕はニワトコの杖を元の場所に戻します。
避けてしまうくせがあります。, 自分のために働くのに疲れてしまった者は神からの助けを求めるべきです。
彼の現状は良くわからないです。。, みんなデブに豚豚と言うけれど豚をしっかり見てみなさい。ほらそこまで太っていませんか。
人だと気まずいという気持ちはありませんか。, 自分の限界を考えたことはありません。
だけど流石にむかつきます。, 何かを成し遂げたい夢を追いかけたいと思った時に年齢は関係ない。
身動きがとれなくてどうしたらいいのか傷つくばかりでもう疲れてしまいました。。, 俺は天才だって言い切れるアーティストになろうと思った。
長期で休むなら休むって会社にいったら大丈夫なのにそれさえ出来ない。, 自分の限界を見てからバットを置きたい。
読むのは大丈夫だけど書くことがとても苦手。は。, 自分らしくある必要はない。むしろ自分らしくないことで自分を押し通すくらいのつもりでいたほうがいい。
謝ってもわたしからはもう付き合えない気がします。今はですけどね。, 人生に選択肢は二つある。生まれたときからの人生か死ぬときからの生きた人生か。
はい。待つこと出来てなかったかも。, 人間は50代くらいから踏み迷う時期になるでしょ。
この先。事務が良いか販売が良いのか分からなくなってきて。, 人生が耐え難くなったとき我々は状況が変わるのを待って決断を下す。
それに好きな人ともお互い学校が違い会えなくなってしまっています。, 人間は自分一人が成長しつづけることはできない。
戻りたいのになんでとなったんでしょう。, 人間は誰でも踊りたいんですよ。
しかもあの人はモテるし。, どうせ人生の本質はつらく人間は孤独なぐらい百も承知している。
破綻になりそうですか。, みんなには自分自身を愛してほしい。私を愛してほしいとは思わない。
このままスルーされて消えてしまったらどうしよう。怖いです。, 成功するための一番良い方法は自分の好きなことを見つけてそれを他の人のために行うこと。
昨日いてもたってもいられなくて。, 私は無信仰だ。
訴えるとかじゃなく話を了承してないですみたいな。, 夢見る事をあきらめないで。すばらしい宝物をまだ見ていないという人がいるならまだそれは少し待て。
将来的にお金に困ったりする。, 人生のつらく厳しい経験によってこそ人格は形成され内的な力が育成される。
なのにたまに普通に話してしまうことがあり混乱して自己嫌悪に。, 人間は自分一人では何もできません。だからこそ周囲の人たちに感謝しつづけたいです。
結局私の心は前の彼に戻ってしまいました。, 僕は人ができないことをやりたい。人ができるものは人がやればいい。僕しかできないことを実現することが重要なんです。
最近は会えてないです。, 恋と捻挫はよく治る。
嫌われちゃったのかな。別れたいのかな。, 成功する人は失敗から学び別な方法でやり直す。
彼がなかなか難ありの性格なので悩みますわら。, 人生でいちばん危険なことはかなえられるはずのない夢がかなえられてしまうことなんだよ。
とてもつらいです。, 自分のことは棚に上げて演技がヘタクソだなとか思っちゃう。
仕事でも周りにどう思われてるのかなって不安になったり。, 人生にリセットボタンは無いけれどスタートボタンは何回押してもいいんじゃないかな。
わたしはつい彼に先のビジョンがあると勘違い。, どんな時でもより劇的でありたい。つまらないと感じることは最大の不幸だと思うから。
自分は前の病棟スタッフからどう思われてたすか。, 私の半生はヤケ酒の歴史である。
体重もキロ増えて重いです。, 人生なんて一回きりだ。
今月の終わりに彼と泊まりの予定があるのですがそれも難しいのでしょうか。, みんな自分のマルの数え方が下手。
それが不安です。, 自分の感情とは別に自分でも感情があることを理解してはじめて対人関係の問題はなくなります。
そのきっかけはわかりますかちなみに今少し不安があり。, 僕は夢がある奴が好き。
職場では人間関係がネックです。, 自分の意思で自由に動ける活動できるって人間としてものすごく幸せなこと。
好きとか付き合いたいとか言っててもちゃんと伝わってないってことですかね。, 僕はサッカーを始めてから常に新しいゴールを定めてチャレンジを続けてきた。
だから答えられないという感じですか。, 自分の心に描く夢の実現に向かって努力するとき普段なら思いもよらぬ成功が得られる。
復縁も難しいものでしょうか。, どんなに苦しいことも一生つづくことはない。
それがネックになり決断出来ないと言われました。, 自分がやったことはいつか必ず自分に帰ってくる。
どう思われてるのかもわからず。, 他人を軽蔑したり敵意をむき出しにしてはならない。
なんだかあまりよくないですね。, 自分が理解し自信が持てる範囲にとどまること。
諦めてるんですか！。, あなたが自分の内面性に目を向けるとそれがあなたを創造しあなたを育てます。
生きることがしんどくなるときがあります。, 人間は誰でも社会の利益のために役立ちたいと願っている。
それ以来今日まで私が送ったのには返事が一切なくて。, 人間にはそれぞれ役割があります。
半ば嬉しそうに話していたのに呆れてしまいました。, 僕たちは命を羽のように軽いものだと思っている。
女性が多い環境でコミュニケーションに少し困っています。, 人生の時間は限られている。
遠回しがすぎるので。, 自分の人生色を塗るのは自分だけですからね。自分に惚れる。自分にごまかしてやるってことができない。
彼が短気で私が堪忍袋がキレてしまいました！。, 私はただひたすらに自分のやりたいことをやり遂げてきました。
あ涙出てきたたぶん力いっぱい頑張れなかったら悔いが残ってるのかな。, 私はあなたの持てる全てを出し切ればよい。
疑心暗鬼になってしまいます。, 本当に強いチームは夢を見るのではなくできることをやるものだ。
人前で発表することがよくあるのですがプレッシャーで。, 何が一番大事なのかと考えたときに1つに集中するということがあります。
まだ会って二回目やのに。, 愛されるって何の役に立つんだろう。教えてくれないか。それで直腸ガンにならずにすむのかい。
私はそこまで今の彼氏に気持ちがなくてどうしていいか分からないです。, どんな場合でも動揺をできるだけ抑える自己コントロール力が大切になります。
なんだか今日はちょっとお疲れ気味なのかあんまり元気がでません。, 人間いくつになっても可能性がある。
もう半分あきらめてました。, 今日できることを明日に延ばすな。今日それを片付ければ明日はそれが楽しみになる。
私の何が原因なんでしょうか。, 私の経験した中で最も悲しい不名誉な出来事の一つは自分が天才だという思い込みが時としてその人に打撃を与えるということである。
すぐ怒ったりイライラしたりです。, 成功者になろうとするのではなく価値のある人間になろうとしなさい。
彼を疑っているのではなくじぶんに自信が持てなくて。, 今日はちょっと心が折れてて参ってしまって。。。笑。。
不倫で可哀想なのもあって。, 自分の夢をつねに大切に生きなさい。それは神の最上の贈り物である。
縁をつなげたままやと私の好きな気持ちが消えないというか苦しいんですよね。, あなた方は神と富とに兼ね仕えることはできない。
悲しい事実です！。, 我々の不幸で満ち足りたものは一度もない。もっと言えば我々の幸福の影ですらない。
私が会いたいと時間作ってと言っても作ってくれないと思うんですよね。, 人生にはトライが不可欠。
断られたことないから不安です。, どうにもならないことをどうにかしちゃうのが宗教。
最終的にダメになるて事ですね。, 何かを始めるのに遅いってことはない。
私が会う直前に危篤とのことお会いできませんでした。, 人間は誰でも幸福になりたかった。誰でも自分の周囲に幸福な空気を作り出したかった。
待ち疲れてたのかも。, 心はいつだって平らいだ。
お互いイライラしたりしていないか。, 私は自分に自信があるとは思いません。
あ応えられないって事ですね。, 私たちの財産それは私たちの頭の中にあります。
じゃぁこのまま付き合っても意味ないですね。, 幸せは世の中で唯一分割して増えるものだ。
今日これから出かけるかどうかさえわからない。, 心は気の精爽なり。
それならそれであたし自身どうすればいいのか。, 今日という日は残りの人生の最初の日。
今では普通に吸ってたりするのが嫌で。, 僕がいつも意識しているのは誰もまだやっていないんじゃないかというものを目指していこうということです。
私の母親と仲良くできる自信がないみたいで。, 結婚とはその主人公が第一章で死んでしまう小説のようなものである。
何か自分が最低人間に思えて自己嫌悪に落ちっぱなしなんです。, 自分の信念貫いて人の希望になってやれ。
老後。ウチも不安ですが。。, 他人を変えることはできないし自分が変わるほうがラクであり得。
そんな現状なんですが彼の気持ちはもう離れてしまいましたか。, 僕は最終面接のとき面接官にこう質問しました。
料理を私ができるかも不安ですし。, 心は形に従う。
もう忘れてしまいたい。, あなたの考えがあなたの祈りである。
その方とうまくあまりいっていません。, 私は自分の弱さからチームをひっぱりだしてきた。
あと前から気になってたんですけど彼あまり実家との関係ってよくないのでしょうか。, 私は一年かけて資金を集めようと頑張った。
もうダメですね。, 何度死んでも叫び向かうさ声を壊し心で叫べばいい。
なんせメンバーの予定が合いにくい。, 自分が進んでいく道ですから他人にいろいろと議論されることもないですし左右されることでもないと思うんです。
つまり邪魔したい感じでしょうか。, 人間というのは馬鹿なものでたとえ今日の命があっても明日という日は分からないということを忘れている。
でもめっちゃ気まずい感じで。, 夢を語るときは胸張って高笑いしながらいうもんだぜ。
なんて伝えればストレスです。, 人間には人間らしい仕事をしてなおかつ人間らしく生活しなければならない。
なかなか忙しい彼なので会えないのですが。, 何か欠けてるものの方が完璧なものより美しい。
私のことが怖いのでしょうか。, 私は仕事が好きでした。ただ仕事で無理するうちに自分のことを嫌いになってしまったんです。
音大なんて行ける実力ないしやめておけって言われそうで。, 心に邪見なき時は人を育つる。
素直に喜びたいけど複雑です。, 自分もストレートとは言い切れないバイセクシャルを公表。
今勉強が不安だし正直したくないです。, わたしは自分で決めて行動することから逃げていた。
わたしは彼と会うべきなのかなんなのかわからなくなってしまいました。, 人は夢見れば見るほど信じることが少なくなる。
仕事が大変なんだろうな。, 僕らはユーモアが分からない。
いつ会えるのか分からないし。, 幸せな人は誰でも他の人をも幸せにするだろう。
やめた方がよいですよね。, あなたは自分がなりたいと望む人間になるよう運命づけられている。
それがよくわかりません。, 自分さえ抜かれなければチームが負けることはないと思っているので。
旦那が頑張っているのはわかるけど私の気持ちがすっきりしないままで。, あなたの人生を幸せにするのはどこから来たかではなくどこへ行くかです。
この先どうなるのかなと漠然とした不安が。, あなたを褒める者が一人いれば十人の敵がいると思いなさい。あなたに敵がいなければあなたを味方だと思っている者は一人もいない。
やっぱりうまくはいかないんですかね。, 私達はテクロジーと人間をつなげることを目指しています。
